config,family,pattern,width,center_lat,n_gliders_cell,n_gliders_total,cell_height_deg,min_depth,max_depth,nc_path,rms,mean_bias,corr,w_est_std,w_model_std,norm_rms,n
shift_w1.0,shift,shift,1.0,0.5,2,8,1.0,8,70,data/shift_w1.0__cell_+0.50.nc,2.46945156611866e-05,-8.383244942515571e-07,0.8921782436289858,4.250751258052938e-05,5.343164859437413e-05,0.46217019895183825,20736
shift_w1.0,shift,shift,1.0,1.5,2,8,1.0,8,70,data/shift_w1.0__cell_+1.50.nc,3.001450572667423e-05,-8.454266579463284e-07,0.791682123343585,4.062066041090374e-05,4.901974701695197e-05,0.6122941784316969,20736
shift_w1.5,shift,shift,1.5,-1.5,2,8,1.0,8,70,data/shift_w1.5__cell_-1.50.nc,1.905516561304278e-05,3.5191488212722866e-06,0.8770684010086481,3.744225917865265e-05,3.805668397701317e-05,0.5007048334676872,20736
shift_w1.5,shift,shift,1.5,-0.5,2,8,1.0,8,70,data/shift_w1.5__cell_-0.50.nc,2.580937308043973e-05,-4.98139332437418e-06,0.8613254006279633,4.0692295016682046e-05,4.967464588086121e-05,0.5195683355718423,20736
shift_w1.5,shift,shift,1.5,0.5,2,8,1.0,8,70,data/shift_w1.5__cell_+0.50.nc,2.7047444232174087e-05,2.47761218279838e-07,0.839144058806546,4.223798279352982e-05,4.9716637159591584e-05,0.5440320540054057,20736
shift_w1.5,shift,shift,1.5,1.5,2,8,1.0,8,70,data/shift_w1.5__cell_+1.50.nc,2.8387757502718752e-05,-8.466226958539086e-07,0.7708551096231053,4.0284190585412085e-05,4.3162684967197726e-05,0.6576921135534676,20736
shift_w2.0,shift,shift,2.0,-1.5,2,8,1.0,8,70,data/shift_w2.0__cell_-1.50.nc,1.920773713321733e-05,2.2052831310729225e-06,0.8613701763884951,3.657882562860755e-05,3.58451629651719e-05,0.535852972739448,20736
shift_w2.0,shift,shift,2.0,-0.5,2,8,1.0,8,70,data/shift_w2.0__cell_-0.50.nc,2.621902302991918e-05,-3.3857728455552702e-06,0.8248866094493681,4.024851872314111e-05,4.578224744102644e-05,0.5726897322743435,20736
shift_w2.0,shift,shift,2.0,0.5,2,8,1.0,8,70,data/shift_w2.0__cell_+0.50.nc,2.8579802871946784e-05,1.071046306160643e-06,0.7931663806451216,4.210130311700117e-05,4.597321519717636e-05,0.6216620427648953,20736
shift_w2.0,shift,shift,2.0,1.5,2,8,1.0,8,70,data/shift_w2.0__cell_+1.50.nc,2.8954747986696518e-05,-1.7504951491472839e-06,0.7409396047988176,4.150305744993344e-05,3.8396476389889217e-05,0.754099092132346,20736
