config,shape,diameter,depth,pair,js2d,js2d_null,js2d_null_p95,corr_obs,corr_true,cov_obs,cov_true,n_obs,n_true
symsq_d0.5_c+0.0,square,0.5,depthavg,T-S,0.5447381473209917,0.6081642278179742,0.7318162961423758,0.29620205637413377,0.3350268908204527,0.012939906994486742,0.014313816133873405,864,31104
symsq_d0.75_c+0.0,square,0.75,25m,velocity U-V,0.595694615308604,0.656254653930755,0.7965931863157073,0.4129448740612998,0.4474694887127802,0.026314536865507377,0.029319136095766113,864,69984
symsq_d0.75_c+0.0,square,0.75,25m,Reynolds stress u'v',0.5985385628485889,0.6755677751762319,0.7962110637984399,0.4162722622687067,0.44810215755264726,0.02644399788060917,0.02933221739762874,864,69984
symsq_d0.75_c+0.0,square,0.75,25m,zonal heat flux u'T',0.5497358087248332,0.6109489143464517,0.726590093271897,0.23033284650094352,0.31233103911893273,0.02259485952176773,0.02918860381090347,864,69984
symsq_d0.75_c+0.0,square,0.75,25m,merid. heat flux v'T',0.5792227601665022,0.6478690339242101,0.7652264303220236,-0.13985188072326318,-0.13095465163265507,-0.016922839294720948,-0.015655841417965412,864,69984
symsq_d0.75_c+0.0,square,0.75,25m,vertical heat flux w'T',0.49623583564720253,0.5740733972096452,0.7161310720771255,0.23112313117184466,0.10398813665873766,6.73168282855476e-06,3.1654201134063236e-06,864,69984
symsq_d0.75_c+0.0,square,0.75,25m,T-S,0.5497909571530473,0.5695108620688755,0.7326991957241172,-0.008932855996201902,0.02902450634375278,-0.00048118173620694216,0.0014807354870413187,864,69984
symsq_d0.75_c+0.0,square,0.75,50m,velocity U-V,0.590679210165046,0.6659487913331438,0.7852891554001591,0.32575899304000705,0.36658665404251456,0.018684968423304193,0.021015388774303777,864,69984
symsq_d0.75_c+0.0,square,0.75,50m,Reynolds stress u'v',0.5911019372388381,0.6686460668519832,0.7938111427501588,0.3291478712240359,0.3678870332757692,0.018822428517507477,0.021054330671528867,864,69984
symsq_d0.75_c+0.0,square,0.75,50m,zonal heat flux u'T',0.5604276208845231,0.6260234400329592,0.7465484392302001,0.2797214196812831,0.37972391526554217,0.025160163659146216,0.03192469032358843,864,69984
symsq_d0.75_c+0.0,square,0.75,50m,merid. heat flux v'T',0.5969343331822476,0.6613747022623597,0.8002225849198606,-0.04143524288451963,-0.04833595401804535,-0.004814952308227461,-0.005431211013038104,864,69984
symsq_d0.75_c+0.0,square,0.75,50m,vertical heat flux w'T',0.5315289460921445,0.6269043768311281,0.7365682336510283,0.12128111216620337,0.06233916503711591,5.812139813738257e-06,2.921647646218594e-06,864,69984
symsq_d0.75_c+0.0,square,0.75,50m,T-S,0.5963226647829628,0.6150492746647711,0.7498959910370441,0.18530423141890637,0.26002282920380915,0.009041310954058706,0.011590564850927278,864,69984
symsq_d0.75_c+0.0,square,0.75,75m,velocity U-V,0.6079557965431064,0.7128687592403977,0.8135881946559866,0.197147354998711,0.23055565008300521,0.009325178036035608,0.011390796345342616,864,69984
symsq_d0.75_c+0.0,square,0.75,75m,Reynolds stress u'v',0.6095638106193793,0.6885723045848443,0.809265823934788,0.2041650575943796,0.2348957101865425,0.009524490272858668,0.01151461958391578,864,69984
symsq_d0.75_c+0.0,square,0.75,75m,zonal heat flux u'T',0.5886079759074139,0.6362461679800483,0.7650187637701088,0.039551849985589194,-0.04483279651093132,0.004406770342868442,-0.005361914448297514,864,69984
symsq_d0.75_c+0.0,square,0.75,75m,merid. heat flux v'T',0.5908926504276686,0.6752981511470701,0.7969049444172189,0.007576749464374231,-0.028746268581554907,0.0009969028486456314,-0.003670798917548927,864,69984
symsq_d0.75_c+0.0,square,0.75,75m,vertical heat flux w'T',0.5747791863724966,0.6764132902020253,0.7840216944843802,-0.006313629396384668,-0.021405746263365923,-4.5077717073807123e-07,-1.4992959001972788e-06,864,69984
symsq_d0.75_c+0.0,square,0.75,75m,T-S,0.5862779895981327,0.6519054153621241,0.7635732112851554,0.5078042349170829,0.530078203476006,0.029155708126714266,0.025556510011397044,864,69984
symsq_d0.75_c+0.0,square,0.75,depthavg,velocity U-V,0.5896720960905576,0.6913882248301487,0.7995382433570567,0.35568307945011113,0.3943118178304693,0.019270927011494413,0.021769978538627756,864,69984
symsq_d0.75_c+0.0,square,0.75,depthavg,Reynolds stress u'v',0.6044909613690378,0.6602582308820603,0.795378456863035,0.3605315868000238,0.39604303850082867,0.019435734722161084,0.02181235661497771,864,69984
