config,shape,diameter,depth,field,js,js_null,js_null_p95,wasserstein,w_null,w_null_p95,obs_mean,true_mean,obs_std,true_std,obs_skew,true_skew,n_obs,n_true
symsq_d0.3_c+0.0,square,0.3,depthavg,T,0.09453610279891063,0.1955233795640056,0.23536311795634682,0.005019671746351652,0.015441487089205333,0.02660378261730758,25.52377399969925,25.52105359171282,0.4007684881746753,0.4010002347477549,-0.7453641106806891,-0.7727064407537682,864,9504
symsq_d0.3_c+0.0,square,0.3,depthavg,S,0.1034786918588663,0.1855279078758194,0.2351467967998239,0.0010518054548298156,0.005223963434840403,0.010229316312412811,35.14743376919092,35.14736580187746,0.10599950171466259,0.10602125730276384,0.08676047633669036,0.0914424234270975,864,9504
symsq_d0.3_c+0.0,square,0.3,depthavg,U,0.08358995833703363,0.18781537289651057,0.25111110873556886,0.0025414377265062698,0.006030256271724841,0.009783309617274359,0.0042812965627011985,0.0052249328626320386,0.20449057325060646,0.20307709401656485,0.2118394487346223,0.20994159686667305,864,9504
symsq_d0.3_c+0.0,square,0.3,depthavg,V,0.0911485055280893,0.19306879453389827,0.23697144941925358,0.002426701596757741,0.006033833548127489,0.008035173233835718,-0.01831115285172016,-0.018421879288383448,0.2711722867644633,0.27148438643846384,0.020927364238689086,0.024533494136242118,864,9504
symsq_d0.3_c+0.0,square,0.3,depthavg,W,0.10113510837847638,0.21062536688071665,0.2559492429054393,3.5371422655410443e-06,5.367612991874953e-06,7.74728487949662e-06,-5.241598141198431e-07,2.381889229992632e-06,8.522202645573079e-05,8.624182474257654e-05,-0.45636323915633376,-0.5312910726099387,864,9504
symsq_d0.3_c+0.0,square,0.3,depthavg,sigma0,0.11917960733258995,0.2193281477015129,0.2549339451373866,0.001979866244421539,0.008275832620518741,0.013943434242997673,23.293174977766515,23.293963169540397,0.12151016934469835,0.12121406097614823,0.29478753176491257,0.34545929599631814,864,9504
symsq_d0.5_c+0.0,square,0.5,25m,T,0.12457921934592657,0.2172770338876035,0.28442222826466845,0.009749801368362641,0.02960272363765793,0.0509875723845744,25.700149316846005,25.693178740689174,0.4107961875010897,0.40664775114539214,-0.7106141439750845,-0.8765702005051135,864,24192
symsq_d0.5_c+0.0,square,0.5,25m,S,0.10848773977355353,0.1842799939783424,0.24769140935213718,0.0018802995326363799,0.008047625364505595,0.015986547346171477,35.12871734042934,35.129404334386784,0.1227836783099202,0.1232103283971944,-0.12052388355840064,-0.12953081934736338,864,24192
symsq_d0.5_c+0.0,square,0.5,25m,U,0.1281664687213844,0.18358772355785205,0.2598913910955894,0.003993205775451583,0.007177504028207688,0.011208804766712087,-0.1156277772089828,-0.1131422608672285,0.22694180058082902,0.22637865447120822,0.03420269635993937,0.050355798131293816,864,24192
symsq_d0.5_c+0.0,square,0.5,25m,V,0.1009966057903803,0.18086560314717767,0.24467820489687486,0.003810674922672683,0.007781305895479532,0.011275784986582575,-0.015780208616659044,-0.015980809994573787,0.29135635196702825,0.29256760878163746,0.009208577188922465,0.010602699452228803,864,24192
symsq_d0.5_c+0.0,square,0.5,25m,W,0.1291726715476475,0.1884534185794525,0.25509212666957765,4.865662970750956e-06,5.820453792939542e-06,1.2650939002738403e-05,-4.214198317665825e-07,5.103864915648899e-07,6.313474435616223e-05,7.0665032233891e-05,-1.2762956343887197,-1.412751051037538,864,24192
symsq_d0.5_c+0.0,square,0.5,25m,sigma0,0.11420666437464452,0.2083714408772684,0.30117052808473205,0.004445658410708427,0.012300802411207176,0.023518969032574315,23.224753392453067,23.227445129653354,0.15419717130333677,0.1524728870544695,-0.180544209776368,-0.05134992440679996,864,24192
symsq_d0.5_c+0.0,square,0.5,50m,T,0.12039015152799976,0.18778769401012815,0.2543111067757312,0.008716011609423738,0.018178021569094455,0.03031220704159408,25.585965390717913,25.581982101594644,0.4054308902680302,0.4023828699373826,-0.6896404079708498,-0.7646301414941741,864,24192
symsq_d0.5_c+0.0,square,0.5,50m,S,0.12431468461579671,0.17386394952887113,0.22837569144689787,0.0016288176885617496,0.006512044621812183,0.014033084390340027,35.14228628671264,35.1426591191973,0.108275796297073,0.10842784700233472,0.07970320159893463,0.08730279877170728,864,24192
symsq_d0.5_c+0.0,square,0.5,50m,U,0.12093149874699287,0.1895303080382271,0.2526041025087908,0.004860335591448396,0.008374139430490394,0.01501193191681274,-0.014090785621138533,-0.012620256246191815,0.20860828108676058,0.20451125071699403,0.24130712583210887,0.1876942888996963,864,24192
