config,family,pattern,width,center_lat,n_gliders_cell,n_gliders_total,cell_height_deg,min_depth,max_depth,nc_path,rms,mean_bias,corr,w_est_std,w_model_std,w_est_mean,w_model_mean,norm_rms,n
equator_3cell_w2.0,equator,equator_3cell,2.0,0.0,2,6,2.0,8,70,data/equator_3cell_w2.0__cell_+0.00.nc,2.1112296681633335e-05,3.009285231497455e-06,0.759127184042883,3.1278284924185056e-05,2.8448346265733967e-05,9.851775662078918e-06,6.842490430581462e-06,0.7421273800742189,20736
equator_3cell_w2.0,equator,equator_3cell,2.0,1.0,2,6,2.0,8,70,data/equator_3cell_w2.0__cell_+1.00.nc,3.148080117787843e-05,-1.3909569100673638e-07,0.5755728814509361,3.541907207852581e-05,3.271955855581538e-05,3.147857734550304e-06,3.2869534255570397e-06,0.9621401561447174,20736
equator_hex1deg_w0.25,equator,equator_hex1deg,0.25,0.0,6,6,1.0,8,70,data/equator_hex1deg_w0.25__cell_+0.00.nc,1.2058778859255572e-05,-5.128658899426512e-08,0.9669424841319053,4.6263297545550374e-05,4.723292924003827e-05,3.192197116014134e-06,3.243483705008399e-06,0.25530448890799734,20736
equator_hex1deg_w0.5,equator,equator_hex1deg,0.5,0.0,6,6,1.0,8,70,data/equator_hex1deg_w0.5__cell_+0.00.nc,8.937498640703546e-06,-1.3755642302738485e-08,0.9793159558536816,4.197454701104106e-05,4.38897915590131e-05,3.6500845907706088e-06,3.6638402330733477e-06,0.20363502133944775,20736
equator_hex1deg_w0.75,equator,equator_hex1deg,0.75,0.0,6,6,1.0,8,70,data/equator_hex1deg_w0.75__cell_+0.00.nc,9.164710804316633e-06,6.92897994258489e-07,0.9761334818326104,4.138189261693443e-05,4.2051443650050116e-05,4.9388477095281125e-06,4.245949715269624e-06,0.21794045599444506,20736
equator_hex1deg_w1.0,equator,equator_hex1deg,1.0,0.0,6,6,1.0,8,70,data/equator_hex1deg_w1.0__cell_+0.00.nc,1.0164429097945633e-05,1.4375551408420404e-06,0.9686780281394858,4.027933668039498e-05,4.011573477152337e-05,6.437626232155361e-06,5.00007109131332e-06,0.25337761244650003,20736
equator_hex1deg_w1.5,equator,equator_hex1deg,1.5,0.0,6,6,1.0,8,70,data/equator_hex1deg_w1.5__cell_+0.00.nc,1.1194398750832515e-05,2.189662413801976e-06,0.9542558747800016,3.660858137378142e-05,3.577825404508714e-05,8.76964146065143e-06,6.579979046849452e-06,0.31288275656843195,20736
equator_hex1deg_w2.0,equator,equator_hex1deg,2.0,0.0,6,6,1.0,8,70,data/equator_hex1deg_w2.0__cell_+0.00.nc,1.3707655091195853e-05,9.484509639634393e-07,0.9215386736016811,3.521021643445491e-05,3.2154138708300316e-05,8.324889430392218e-06,7.376438466428777e-06,0.4263107531988515,20736
equator_hex2deg_w0.25,equator,equator_hex2deg,0.25,0.0,4,4,2.0,8,70,data/equator_hex2deg_w0.25__cell_+0.00.nc,1.6533000438843093e-05,-3.9314888400193523e-07,0.8925312212878093,3.584456405425935e-05,3.5437090652120054e-05,3.734283972648042e-06,4.127432856649979e-06,0.46654508410819534,20736
equator_hex2deg_w0.5,equator,equator_hex2deg,0.5,0.0,4,4,2.0,8,70,data/equator_hex2deg_w0.5__cell_+0.00.nc,1.3166567749980514e-05,-5.012034278456176e-07,0.9177512305465603,3.078474063887477e-05,3.3113186390906974e-05,4.432372576273707e-06,4.933576004119324e-06,0.3976230977758187,20736
equator_hex2deg_w0.75,equator,equator_hex2deg,0.75,0.0,4,4,2.0,8,70,data/equator_hex2deg_w0.75__cell_+0.00.nc,9.521073063513809e-06,-8.597803592122728e-07,0.9544543962096537,3.00151682916702e-05,3.176507108061255e-05,4.437536005732555e-06,5.2973163649448286e-06,0.2997340392959135,20736
equator_hex2deg_w1.0,equator,equator_hex2deg,1.0,0.0,4,4,2.0,8,70,data/equator_hex2deg_w1.0__cell_+0.00.nc,8.31772675063574e-06,-5.872344207719384e-07,0.9626044186374532,2.9761358776512468e-05,3.06062117611627e-05,5.332414587451019e-06,5.9196490082229585e-06,0.27176596749521276,20736
equator_hex2deg_w1.5,equator,equator_hex2deg,1.5,0.0,4,4,2.0,8,70,data/equator_hex2deg_w1.5__cell_+0.00.nc,8.645657938767393e-06,8.085192801295692e-07,0.9515494595500227,2.7423628903358798e-05,2.782240289985856e-05,7.685806438516377e-06,6.877287158386809e-06,0.31074447343336203,20736
equator_hex2deg_w2.0,equator,equator_hex2deg,2.0,0.0,4,4,2.0,8,70,data/equator_hex2deg_w2.0__cell_+0.00.nc,9.551934800779111e-06,8.428161084392318e-07,0.9271123582122875,2.4204462495804486e-05,2.5310485861238642e-05,8.05190777576157e-06,7.2090916673223355e-06,0.37739041649165955,20736
equator_sq1deg_w0.25,equator,equator_sq1deg,0.25,0.0,4,4,1.0,8,70,data/equator_sq1deg_w0.25__cell_+0.00.nc,2.2614450534986614e-05,-2.0774479950789683e-07,0.8536555082234735,4.174486477189695e-05,4.185200275881883e-05,4.465099789859647e-06,4.672844589367544e-06,0.5403433299311207,20736
equator_sq1deg_w0.5,equator,equator_sq1deg,0.5,0.0,4,4,1.0,8,70,data/equator_sq1deg_w0.5__cell_+0.00.nc,1.7665537272056568e-05,-8.568666065932457e-07,0.891525197092696,3.5853252689343866e-05,3.8862161353228055e-05,4.60702841053975e-06,5.4638950171329955e-06,0.45456908872077423,20736
equator_sq1deg_w0.75,equator,equator_sq1deg,0.75,0.0,4,4,1.0,8,70,data/equator_sq1deg_w0.75__cell_+0.00.nc,1.7579361979485122e-05,-2.6117407989861224e-06,0.8874330039140558,3.488494237464828e-05,3.7565195604451924e-05,3.1315836353159397e-06,5.743324434302062e-06,0.46796939817882266,20736
equator_sq1deg_w1.0,equator,equator_sq1deg,1.0,0.0,4,4,1.0,8,70,data/equator_sq1deg_w1.0__cell_+0.00.nc,1.9331650995846194e-05,-3.5249136962862663e-06,0.8577111690156888,3.4929339547509274e-05,3.618726101677352e-05,2.7907003601813432e-06,6.315614056467608e-06,0.5342115001985253,20736
equator_sq1deg_w1.5,equator,equator_sq1deg,1.5,0.0,4,4,1.0,8,70,data/equator_sq1deg_w1.5__cell_+0.00.nc,2.393106949044557e-05,-2.1078854162341455e-06,0.7464027046280329,3.4353398651933406e-05,3.239290460866377e-05,5.198508745629277e-06,7.306394161863422e-06,0.7387750428544463,20736
equator_sq1deg_w2.0,equator,equator_sq1deg,2.0,0.0,4,4,1.0,8,70,data/equator_sq1deg_w2.0__cell_+0.00.nc,2.6871080197200586e-05,-1.958192347724608e-06,0.6529056862554493,3.41987506643756e-05,2.920099818614177e-05,5.734694477682064e-06,7.69288682540667e-06,0.9202110155930588,20736
equator_sq2deg_w0.25,equator,equator_sq2deg,0.25,0.0,4,4,2.0,8,70,data/equator_sq2deg_w0.25__cell_+0.00.nc,4.276252881355804e-05,-5.745534484237264e-07,0.457209874276189,4.652725974985886e-05,3.2045214633450657e-05,3.1237580562829793e-06,3.6983115047067055e-06,1.3344435137257602,20736
equator_sq2deg_w0.5,equator,equator_sq2deg,0.5,0.0,4,4,2.0,8,70,data/equator_sq2deg_w0.5__cell_+0.00.nc,2.7360875371173974e-05,-3.4642362038797243e-07,0.6296331427154098,3.3417328854791673e-05,2.96713532474862e-05,3.814529984254455e-06,4.1609536046424265e-06,0.9221310245932928,20736
equator_sq2deg_w0.75,equator,equator_sq2deg,0.75,0.0,4,4,2.0,8,70,data/equator_sq2deg_w0.75__cell_+0.00.nc,2.2462476391126098e-05,-3.4627770066989943e-07,0.6871165785858223,2.8391118095173512e-05,2.8393373648573305e-05,4.458703462821173e-06,4.8049811634910726e-06,0.7911168524440131,20736
equator_sq2deg_w1.0,equator,equator_sq2deg,1.0,0.0,4,4,2.0,8,70,data/equator_sq2deg_w1.0__cell_+0.00.nc,1.9454518283934704e-05,-1.225052993909876e-06,0.7281995571367272,2.5113562792230694e-05,2.7272445982486322e-05,4.4863375841272e-06,5.711390578037078e-06,0.7133396944457386,20736
equator_sq2deg_w1.5,equator,equator_sq2deg,1.5,0.0,4,4,2.0,8,70,data/equator_sq2deg_w1.5__cell_+0.00.nc,1.459836639270079e-05,-2.833058166797408e-06,0.815925998310039,2.221045041960545e-05,2.4461792200752797e-05,4.014537380647448e-06,6.847595547444855e-06,0.5967823728079716,20736
equator_sq2deg_w2.0,equator,equator_sq2deg,2.0,0.0,4,4,2.0,8,70,data/equator_sq2deg_w2.0__cell_+0.00.nc,1.4949403855962764e-05,-1.8591693182845758e-06,0.7738891406564541,2.2034509378320536e-05,2.20810237737376e-05,5.294869683407487e-06,7.154039001692062e-06,0.6770249427358103,20736
shift_w0.25,shift,shift,0.25,-1.5,2,8,1.0,8,70,data/shift_w0.25__cell_-1.50.nc,3.785800394818398e-05,3.237538239047833e-07,0.7486857246630233,5.460482199912502e-05,5.196168736242741e-05,-6.389300985501301e-06,-6.713054809406083e-06,0.7285753382896961,20736
shift_w0.25,shift,shift,0.25,-0.5,2,8,1.0,8,70,data/shift_w0.25__cell_-0.50.nc,2.7037433064054776e-05,-2.6142530518855524e-06,0.8980321486174995,5.858498029126059e-05,6.0352414484578645e-05,1.0500678857094071e-05,1.3114931908979625e-05,0.4479925665768257,20736
shift_w0.25,shift,shift,0.25,0.5,2,8,1.0,8,70,data/shift_w0.25__cell_+0.50.nc,2.9348249728411274e-05,-2.685815321178598e-06,0.8920525543493181,6.375114974578048e-05,6.177070108813552e-05,-3.7634308344396496e-06,-1.0776155132610514e-06,0.47511602121103785,20736
shift_w0.25,shift,shift,0.25,1.5,2,8,1.0,8,70,data/shift_w0.25__cell_+1.50.nc,4.693229845801266e-05,-4.624509731640216e-07,0.7509773945878774,6.774286250969179e-05,6.506596035188893e-05,4.435443620123795e-06,4.897894593287816e-06,0.7213034004907325,20736
shift_w0.5,shift,shift,0.5,-1.5,2,8,1.0,8,70,data/shift_w0.5__cell_-1.50.nc,2.705355688472086e-05,2.3404879714776893e-06,0.8222434284538123,4.2227339179942597e-05,4.692063114731965e-05,-3.1226076114599496e-06,-5.463095582937638e-06,0.5765812654944711,20736
shift_w0.5,shift,shift,0.5,-0.5,2,8,1.0,8,70,data/shift_w0.5__cell_-0.50.nc,2.2401396132213265e-05,-1.5720664174663179e-06,0.9207813019189313,5.328933617729743e-05,5.726838477953285e-05,1.1270569519174354e-05,1.284263593664067e-05,0.39116514667651847,20736
shift_w0.5,shift,shift,0.5,0.5,2,8,1.0,8,70,data/shift_w0.5__cell_+0.50.nc,2.4232778961041396e-05,-1.939379041773279e-06,0.9026101663211924,5.39855037127331e-05,5.531850567287024e-05,-2.5809099644744976e-06,-6.415309227012172e-07,0.43805917506780806,20736
shift_w0.5,shift,shift,0.5,1.5,2,8,1.0,8,70,data/shift_w0.5__cell_+1.50.nc,3.64850155067852e-05,-2.5812929388778452e-06,0.8025557728998657,5.6009156421074605e-05,5.9373113646351785e-05,2.038518758017165e-06,4.61981169689501e-06,0.6145039945875744,20736
